                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    106,                 1.0187,                0.70904,                 1.0929,                0.58658,                0.42501,                0.47357,                0.21062,                 1.7383,                 1.0439,                 1.5071,              0.0002853,              0.0002853,              0.0002853
                    107,                 1.0524,                0.70735,                 1.0788,                0.57982,                0.43399,                0.45051,                0.20919,                  1.748,                 1.0324,                 1.5096,             0.00028239,             0.00028239,             0.00028239
                    108,                 1.0309,                0.70759,                 1.0743,                0.59448,                0.42755,                0.43862,                0.19601,                  1.782,                 1.0377,                 1.5334,             0.00027948,             0.00027948,             0.00027948
                    109,                 1.0766,                0.73494,                  1.109,                0.54981,                0.50765,                0.47063,                0.21185,                  1.797,                 1.0598,                 1.5593,             0.00027657,             0.00027657,             0.00027657
                    110,                 1.0375,                0.68682,                 1.0813,                 0.5711,                 0.5527,                0.49445,                0.22523,                  1.799,                  1.051,                 1.5677,             0.00027366,             0.00027366,             0.00027366
                    111,                 1.1161,                0.75237,                 1.0997,                0.59349,                0.54852,                  0.493,                0.22223,                 1.7998,                 1.0353,                 1.5711,             0.00027074,             0.00027074,             0.00027074
                    112,                 1.0696,                0.74684,                 1.1104,                0.56701,                0.51559,                0.47675,                0.21536,                 1.7998,                 1.0349,                 1.5687,             0.00026783,             0.00026783,             0.00026783
                    113,                0.97732,                0.70904,                 1.0694,                0.53776,                0.53357,                0.48159,                0.21475,                 1.7915,                 1.0324,                 1.5696,             0.00026492,             0.00026492,             0.00026492
                    114,                 1.0398,                0.68612,                 1.0694,                0.54011,                 0.5252,                0.47303,                0.20878,                 1.7951,                 1.0394,                 1.5754,             0.00026201,             0.00026201,             0.00026201
                    115,                 1.0274,                0.70614,                 1.0733,                0.53608,                0.49459,                0.45682,                0.20691,                   1.79,                 1.0324,                 1.5686,              0.0002591,              0.0002591,              0.0002591
                    116,                 1.0353,                0.70303,                 1.0761,                0.55993,                0.43918,                0.45354,                0.21228,                 1.8117,                 1.0141,                 1.5955,             0.00025619,             0.00025619,             0.00025619
                    117,                  1.017,                0.68271,                  1.062,                   0.59,                0.46879,                0.47654,                 0.2245,                 1.8245,                0.99918,                 1.6165,             0.00025328,             0.00025328,             0.00025328
                    118,                 1.0156,                0.69569,                 1.0561,                0.59902,                0.46863,                0.45858,                0.21084,                 1.8331,                 1.0141,                 1.6142,             0.00025037,             0.00025037,             0.00025037
                    119,                  1.008,                0.68574,                 1.0603,                0.65669,                 0.4271,                0.45379,                0.21412,                 1.8183,                   1.03,                 1.5995,             0.00024746,             0.00024746,             0.00024746
                    120,                0.97474,                0.68433,                 1.0634,                 0.6511,                0.42264,                 0.4807,                0.22426,                 1.8145,                 1.0336,                 1.5921,             0.00024455,             0.00024455,             0.00024455
                    121,                  1.008,                0.71262,                 1.0779,                0.65789,                0.49939,                0.50814,                0.22378,                 1.8101,                 1.0291,                 1.5958,             0.00024164,             0.00024164,             0.00024164
                    122,                 1.0172,                0.69423,                 1.0656,                0.63227,                0.51262,                0.50869,                0.22241,                  1.815,                 1.0323,                  1.597,             0.00023873,             0.00023873,             0.00023873
                    123,                 1.0119,                0.70143,                 1.0775,                0.66493,                0.42457,                0.51017,                0.22038,                 1.8209,                 1.0267,                 1.5883,             0.00023582,             0.00023582,             0.00023582
                    124,                0.99557,                0.67635,                 1.0573,                0.66912,                0.44391,                0.51621,                0.22809,                 1.8276,                 1.0163,                 1.5919,             0.00023291,             0.00023291,             0.00023291
                    125,                0.96544,                0.67014,                  1.056,                0.64941,                0.51686,                0.52449,                0.23216,                 1.8011,                 1.0298,                 1.5616,                0.00023,                0.00023,                0.00023
                    126,                0.97976,                0.66502,                 1.0565,                0.62496,                0.55287,                0.51283,                 0.2266,                 1.8094,                 1.0325,                 1.5725,             0.00022709,             0.00022709,             0.00022709
                    127,                0.95457,                0.65324,                 1.0512,                0.66677,                0.45107,                0.49521,                0.22159,                 1.8192,                 1.0409,                  1.592,             0.00022417,             0.00022417,             0.00022417
                    128,                0.97111,                0.66138,                 1.0351,                0.67465,                0.43629,                0.48701,                 0.2158,                 1.8251,                 1.0581,                 1.6021,             0.00022126,             0.00022126,             0.00022126
                    129,                 1.0537,                0.71596,                 1.0734,                0.57076,                 0.5213,                0.49094,                 0.2109,                 1.8172,                 1.0675,                 1.6002,             0.00021835,             0.00021835,             0.00021835
                    130,                0.96651,                 0.6593,                 1.0489,                 0.6144,                0.46854,                0.48687,                0.21315,                 1.8145,                 1.0563,                 1.5986,             0.00021544,             0.00021544,             0.00021544
                    131,                0.98776,                 0.6733,                 1.0578,                0.63675,                0.45475,                0.47517,                  0.218,                 1.8274,                 1.0675,                 1.6022,             0.00021253,             0.00021253,             0.00021253
                    132,                0.96361,                0.64917,                 1.0524,                0.58451,                0.49399,                0.46896,                0.21314,                  1.816,                 1.0747,                 1.5998,             0.00020962,             0.00020962,             0.00020962
                    133,                 1.0014,                0.67833,                 1.0695,                0.61885,                 0.4335,                0.48844,                0.22353,                 1.8048,                 1.0586,                 1.5915,             0.00020671,             0.00020671,             0.00020671
                    134,                0.99082,                0.67405,                 1.0476,                0.56197,                0.48395,                0.46701,                0.21605,                 1.7985,                 1.0638,                  1.588,              0.0002038,              0.0002038,              0.0002038
                    135,                0.97966,                0.65257,                 1.0345,                0.68745,                0.41314,                0.48383,                0.22591,                 1.7944,                 1.0583,                 1.5961,             0.00020089,             0.00020089,             0.00020089
                    136,                 0.9609,                0.63826,                 1.0282,                0.72609,                0.43685,                0.49988,                0.23068,                 1.7763,                 1.0372,                 1.5744,             0.00019798,             0.00019798,             0.00019798
                    137,                0.97333,                0.66434,                 1.0669,                0.67783,                0.46128,                 0.5033,                0.22888,                 1.7779,                 1.0348,                 1.5659,             0.00019507,             0.00019507,             0.00019507
                    138,                0.94144,                0.63882,                 1.0365,                0.67931,                0.44815,                0.49189,                0.23074,                  1.804,                 1.0386,                 1.5881,             0.00019216,             0.00019216,             0.00019216
                    139,                0.95384,                0.65917,                 1.0524,                0.64995,                0.45458,                0.49335,                0.22728,                 1.8082,                 1.0249,                 1.5976,             0.00018925,             0.00018925,             0.00018925
                    140,                0.94292,                0.65566,                 1.0314,                 0.6648,                0.45114,                0.50165,                0.22247,                 1.8017,                0.99636,                 1.6015,             0.00018634,             0.00018634,             0.00018634
                    141,                 0.9296,                 0.6254,                 1.0321,                0.62415,                0.45491,                0.56977,                0.23085,                 1.7938,                 1.0144,                 1.5998,             0.00018343,             0.00018343,             0.00018343
                    142,                0.92776,                0.61279,                 1.0242,                0.62805,                0.43202,                0.57437,                 0.2235,                 1.8064,                 1.0225,                 1.6152,             0.00018052,             0.00018052,             0.00018052
                    143,                0.96725,                0.66964,                 1.0664,                 0.5763,                0.49972,                0.51721,                0.22975,                 1.8056,                 1.0234,                  1.613,             0.00017761,             0.00017761,             0.00017761
                    144,                0.97324,                0.64885,                 1.0497,                0.57025,                0.54242,                0.50818,                0.22683,                 1.7924,                 1.0111,                 1.6024,             0.00017469,             0.00017469,             0.00017469
                    145,                0.91535,                0.60988,                 1.0257,                0.70355,                0.41471,                0.50994,                0.22658,                 1.7992,                 1.0195,                 1.6106,             0.00017178,             0.00017178,             0.00017178
                    146,                0.94357,                0.63579,                 1.0333,                0.69586,                0.41374,                0.49883,                0.22757,                 1.8026,                 1.0153,                 1.6134,             0.00016887,             0.00016887,             0.00016887
                    147,                0.93216,                0.62541,                 1.0304,                0.56822,                0.50911,                0.49808,                0.23119,                 1.7847,                 1.0197,                  1.601,             0.00016596,             0.00016596,             0.00016596
